,,,,,X,absX,xdiff,Y,absY,ydiff,Z,absZ,zdiff,adiff,,,
10-14-36 490,2,0,0.56,0.8,-0.094101,0.094101,0,-0.570038,0.570038,0,-0.811874,0.811874,0,0,-0.103309,-0.233566,-0.023969
10-14-36 538,2,0,0.56,0.88,-0.094101,0.094101,0,-0.570038,0.570038,0,-0.811874,0.811874,0,0,0.094298,-0.016212,-0.102023
10-14-36 587,2,0,0.52,0.88,-0.094101,0.094101,0,-0.570038,0.570038,0,-0.811874,0.811874,0,0,0.094298,-0.016212,-0.102023
10-14-36 646,2,0,0.56,0.96,-0.085266,0.085266,0.008835,-0.57814,0.57814,0.008102,-0.771362,0.771362,0.040512,0.042248335,0.094298,-0.016212,-0.102023
10-14-36 695,2,0,0.6,1,-0.085266,0.085266,0,-0.57814,0.57814,0,-0.771362,0.771362,0,0,0.094298,-0.016212,-0.102023
10-14-36 743,2,0,0.6,0.96,-0.085266,0.085266,0,-0.57814,0.57814,0,-0.771362,0.771362,0,0,-0.062877,-0.102216,-0.109173
10-14-36 802,2,0,0.56,0.92,-0.085266,0.085266,0,-0.57814,0.57814,0,-0.771362,0.771362,0,0,-0.062877,-0.102216,-0.109173
10-14-36 851,2,0,0.48,0.88,-0.123886,0.123886,0.03862,-0.5858,0.5858,0.00766,-0.784012,0.784012,0.01265,0.041354595,-0.062877,-0.102216,-0.109173
10-14-36 900,2,0,0.32,0.64,-0.123886,0.123886,0,-0.5858,0.5858,0,-0.784012,0.784012,0,0,-0.062877,-0.102216,-0.109173
10-14-36 958,0,0,0.48,0.72,-0.123886,0.123886,0,-0.5858,0.5858,0,-0.784012,0.784012,0,0,0.064043,0.080877,-0.127103
10-14-37 007,2,0,0.36,0.64,-0.123886,0.123886,0,-0.5858,0.5858,0,-0.784012,0.784012,0,0,0.064043,0.080877,-0.127103
10-14-37 056,0,0,0.28,0.56,-0.001968,0.001968,0.121918,-0.629837,0.629837,0.044037,-0.749832,0.749832,0.03418,0.13405793,0.064043,0.080877,-0.127103
10-14-37 105,0,0,0.16,0.56,-0.001968,0.001968,0,-0.629837,0.629837,0,-0.749832,0.749832,0,0,0.064043,0.080877,-0.127103
10-14-37 163,0,0,0.16,0.52,-0.001968,0.001968,0,-0.629837,0.629837,0,-0.749832,0.749832,0,0,0.047072,2.032082,0.238507
10-14-37 213,0,0,0.08,0.56,-0.001968,0.001968,0,-0.629837,0.629837,0,-0.749832,0.749832,0,0,0.047072,2.032082,0.238507
10-14-37 261,0,0,0.04,0.52,0.184479,0.184479,0.186447,-0.594879,0.594879,0.034958,-0.866714,0.866714,0.116882,0.222813706,0.047072,2.032082,0.238507
10-14-37 310,0,0,0.08,0.52,0.184479,0.184479,0,-0.594879,0.594879,0,-0.866714,0.866714,0,0,0.047072,2.032082,0.238507
10-14-37 369,0,0,0.08,0.48,0.184479,0.184479,0,-0.594879,0.594879,0,-0.866714,0.866714,0,0,-0.298954,-0.33071,-0.206996
10-14-37 417,0,0,0,0.48,0.184479,0.184479,0,-0.594879,0.594879,0,-0.866714,0.866714,0,0,-0.298954,-0.33071,-0.206996
10-14-37 467,0,0,0.04,0.52,0.160858,0.160858,0.023621,-0.581696,0.581696,0.013183,-0.648941,0.648941,0.217773,0.219446628,-0.298954,-0.33071,-0.206996
10-14-37 525,0,0,0.04,0.48,0.160858,0.160858,0,-0.581696,0.581696,0,-0.648941,0.648941,0,0,-0.298954,-0.33071,-0.206996
10-14-37 574,0,0,0,0.52,0.160858,0.160858,0,-0.581696,0.581696,0,-0.648941,0.648941,0,0,-0.286835,-0.016979,-0.009902
10-14-37 623,0,0,0,0.52,0.160858,0.160858,0,-0.581696,0.581696,0,-0.648941,0.648941,0,0,-0.286835,-0.016979,-0.009902
