,,,,,x,xdiff,y,ydiff,z,zdiff,adiff,asqur,,,
02-20-07 671,0,0,0,0,-0.288345,0,1.002441,0,0.044632,0,0,1.044041576,0.171252,-0.206837,0.099421
02-20-07 731,0,0,0,0.04,-0.210571,0.077774,1.188461,0.18602,0.2771,0.232468,0.307723263,1.238371554,-1.974645,-1.604123,-0.09365
02-20-07 777,0,0,0,0.16,-0.210571,0,1.188461,0,0.2771,0,0,1.238371554,-1.974645,-1.604123,-0.09365
02-20-07 826,0,0,0,0.36,-0.210571,0,1.188461,0,0.2771,0,0,1.238371554,-1.974645,-1.604123,-0.09365
02-20-07 885,0,0,0,0.28,-0.210571,0,1.188461,0,0.2771,0,0,1.238371554,-1.974645,-1.604123,-0.09365
02-20-08 057,0,0,0,0.16,0.030273,0.240844,0.732941,0.45552,-0.183029,0.460129,0.690813288,0.756054614,-0.312416,-2.07816,-0.955546
02-20-08 061,0,0,0,0,0.030273,0,0.732941,0,-0.183029,0,0,0.756054614,-0.312416,-2.07816,-0.955546
02-20-08 064,0.08,0.04,0,0,0.030273,0,0.732941,0,-0.183029,0,0,0.756054614,-0.312416,-2.07816,-0.955546
02-20-08 082,0.04,0.04,0,0,0.030273,0,0.732941,0,-0.183029,0,0,0.756054614,-0.312416,-2.07816,-0.955546
02-20-08 142,0,0.08,0,0,-0.938522,0.968795,1.555099,0.822158,0.835251,1.01828,1.628312528,1.999200009,0.138677,-0.498206,-0.422089
02-20-08 187,0,0,0,0,-0.938522,0,1.555099,0,0.835251,0,0,1.999200009,0.138677,-0.498206,-0.422089
02-20-08 236,0,0,0,0,-0.938522,0,1.555099,0,0.835251,0,0,1.999200009,0.138677,-0.498206,-0.422089
02-20-08 297,0,0,0,0,-0.938522,0,1.555099,0,0.835251,0,0,1.999200009,0.138677,-0.498206,-0.422089
02-20-08 345,0,0,0,0,-0.334457,0.604065,1.020355,0.534744,-0.215744,1.050995,1.324928738,1.095231156,0.435181,-0.402257,0.218235
02-20-08 394,0,0,0,0,-0.334457,0,1.020355,0,-0.215744,0,0,1.095231156,0.435181,-0.402257,0.218235
02-20-08 441,0,0,0,0,-0.334457,0,1.020355,0,-0.215744,0,0,1.095231156,0.435181,-0.402257,0.218235
02-20-08 505,0,0,0,0,-0.334457,0,1.020355,0,-0.215744,0,0,1.095231156,0.435181,-0.402257,0.218235
02-20-08 551,0,0,0,0,-0.174957,0.1595,1.016022,0.004333,-0.053452,0.162292,0.227591121,1.032360292,0.519664,0.123209,0.300227
02-20-08 598,0,0,0,0,-0.174957,0,1.016022,0,-0.053452,0,0,1.032360292,0.519664,0.123209,0.300227
02-20-08 646,0,0,0,0,-0.174957,0,1.016022,0,-0.053452,0,0,1.032360292,0.519664,0.123209,0.300227
02-20-08 705,0,0,0,0,-0.174957,0,1.016022,0,-0.053452,0,0,1.032360292,0.519664,0.123209,0.300227
